hgnc_symbol	TIER	FLAGSHIP
	2	EPIL
A2M	1	CS
AARS	1	CMT
ABAT	2	EPIL
ABCB1	1	EPIL
ABCB1	2	EPIL
ABCC1	2	EPIL
ABCC2	1	EPIL
ABCC5	1	EPIL
ABCG2	1	EPIL
ADAM22	2	EPIL
ADCK3	2	EPIL
ADNP	2	EPIL
ADSL	1	EPIL
AFF2	2	EPIL
AGTR2	2	EPIL
AKR1C4	2	CRC
ALDH5A1	2	EPIL
ALDH7A1	2	EPIL
ALDH7A1	1	EPIL
ALG6	2	EPIL
ALG9	2	EPIL
ALS2	1	CS
ANG	1	CS
APC	1	CRC
APOE	1	CS
APP	1	CS
AQP4	2	EPIL
ARHGEF9	2	EPIL
ARX	1	EPIL
ASXL1	1	AML
ATL1	1	CMT
ATN1	2	EPIL
ATP10A	2	EPIL
ATP13A2	1	CS
ATP1A2	2	EPIL
ATP6AP2	2	EPIL
ATP6AP2	1	EPIL
ATP7A	1	CMT
ATP7B	1	CS
ATXN10	2	EPIL
ATXN2	2	EPIL
AXIN1	2	CRC
AXIN2	2	CRC
BDNF	2	EPIL
BLM	2	CRC
BMPR1A	1	CRC
BRD2	2	EPIL
C9orf72	1	CS
CACNA1A	2	EPIL
CACNA1E	2	EPIL
CACNA1G	2	EPIL
CACNA1H	2	EPIL
CACNB4	1	EPIL
CACNG2	2	EPIL
CACNG3	2	EPIL
CALHM1	1	CS
CAMSAP2	2	EPIL
CASQ2	2	EPIL
CASR	2	EPIL
CCDC18	2	CRC
CCM2	2	EPIL
CCT5	1	CMT
CDH1	1	CRC
CDK5	2	EPIL
CDKL5	1	EPIL
CEBPA	1	AML
CHEK2	2	CRC
CHGA	2	EPIL
CHMP2B	1	CS
CHRNA2	1	EPIL
CHRNA4	1	EPIL
CHRNA6	2	EPIL
CHRNA7	2	EPIL
CHRNB2	1	EPIL
CLCN2	2	EPIL
CLN3	1	EPIL
CLN5	1	EPIL
CLN6	1	EPIL
CLN8	1	EPIL
CLU	1	CS
CNR1	2	EPIL
CNTNAP2	1	EPIL
COL18A1	2	EPIL
CPS1	1	EPIL
CSMD3	2	EPIL
CSNK1G2	2	EPIL
CSTB	1	EPIL
CTDP1	1	CMT
CTSD	1	EPIL
CYP1A1	1	EPIL
CYP2A6	1	EPIL
CYP2C19	1	EPIL
CYP2C9	1	EPIL
CYP2C9	2	EPIL
CYP3A4	1	EPIL
CYP3A5	1	EPIL
DAPK1	2	EPIL
DCTN1	1	CMT
DCX	2	EPIL
DEPDC5	2	EPIL
DEPDC5	1	EPIL
DGKD	2	EPIL
DHTKD1	1	CMT
DNM2	1	CMT
DNMT3A	1	AML
DPAGT1	2	EPIL
DPYSL2	2	EPIL
ECA1	2	EPIL
EFHC1	1	EPIL
EGI	2	EPIL
EGR2	1	CMT
EIF2S1	2	EPIL
EJM1	2	EPIL
ELP4	2	EPIL
EMX2	2	EPIL
EN2	2	EPIL
EPCAM	1	CRC
EPHX1	1	EPIL
EPM2A	1	EPIL
FA2H	1	CS
FABP2	1	EPIL
FAM134B	1	CMT
FBLN5	1	CMT
FCMTE1	2	EPIL
FEB1	2	EPIL
FEB2	2	EPIL
FGD4	1	CMT
FGF2	2	EPIL
FIG4	1	CS
FIG4	1	CMT
FLCN	2	CRC
FLNA	2	EPIL
FLOT1	1	EPIL
FLT3	1	AML
FMR1	2	EPIL
FOSB	2	EPIL
FOXG1	1	EPIL
FTL	1	CS
FUS	1	CS
GABBR1	2	EPIL
GABRA1	1	EPIL
GABRB3	2	EPIL
GABRD	2	EPIL
GABRG2	1	EPIL
